[08/Apr/2021 23:33:50] DEBUG [django.db.backends:123] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[08/Apr/2021 23:33:50] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:33:50] DEBUG [django.db.backends:123] (0.016) SHOW FULL TABLES; args=None
[08/Apr/2021 23:33:50] DEBUG [django.db.backends:123] (0.005) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
[08/Apr/2021 23:34:16] DEBUG [django.db.backends:123] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[08/Apr/2021 23:34:16] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:34:16] DEBUG [django.db.backends:123] (0.004) SHOW FULL TABLES; args=None
[08/Apr/2021 23:34:16] DEBUG [django.db.backends:123] (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
[08/Apr/2021 23:40:29] DEBUG [django.db.backends:123] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[08/Apr/2021 23:40:29] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:40:29] DEBUG [django.db.backends:123] (0.004) SHOW FULL TABLES; args=None
[08/Apr/2021 23:40:29] DEBUG [django.db.backends:123] (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
[08/Apr/2021 23:45:27] DEBUG [django.db.backends:123] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
